idorgao,nomeorgao,totalservidores
26449,UNIVERSIDADE FEDERAL DO CARIRI,1
26233,UNIVERSIDADE FEDERAL DO CEARA,6645
26234,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,4248
26447,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,532
26441,UNIVERSIDADE FEDERAL DO OESTE DO PARA,1002
26239,UNIVERSIDADE FEDERAL DO PARA,5728
26241,UNIVERSIDADE FEDERAL DO PARANA,6882
26279,UNIVERSIDADE FEDERAL DO PIAUI,3496
26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,14973
26273,UNIVERSIDADE FEDERAL DO RIO GRANDE,2110
26450,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,418
26236,UNIVERSIDADE FEDERAL FLUMINENSE,8009
26253,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,1052
26248,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,2461
